City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,9.07,87,98,12.53,overcast clouds
1,Bredasdorp,ZA,-34.5322,20.0403,56.28,76,39,3.44,scattered clouds
2,Rikitea,PF,-23.1203,-134.9692,74.82,82,98,20.58,overcast clouds
3,Requena,ES,39.4883,-1.1004,56.98,78,0,2.26,clear sky
4,Bluff,NZ,-46.6,168.3333,51.57,93,100,3.58,light rain
5,Ribeira Grande,PT,38.5167,-28.7,68.4,73,75,0.0,broken clouds
6,Tiradentes,BR,-21.1103,-44.1781,81.01,60,76,4.12,broken clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,75,9.22,broken clouds
8,East London,ZA,-33.0153,27.9116,62.17,66,49,20.87,scattered clouds
9,Mataura,NZ,-46.1927,168.8643,51.31,96,100,0.27,light rain
10,Raudeberg,NO,61.9875,5.1352,44.96,79,100,8.99,light rain
11,Golyshmanovo,RU,56.3979,68.3728,44.78,76,12,15.7,few clouds
12,Homer,US,59.6425,-151.5483,43.03,92,90,0.0,overcast clouds
13,Yar-Sale,RU,66.8333,70.8333,30.72,92,100,10.58,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,44.71,49,75,36.82,broken clouds
15,Castro,BR,-24.7911,-50.0119,70.92,60,100,7.27,moderate rain
16,Albany,US,42.6001,-73.9662,55.27,57,92,1.99,overcast clouds
17,Oranjemund,NA,-28.55,16.4333,58.01,80,0,15.61,clear sky
18,Shahrud,IR,36.4182,54.9763,47.75,25,0,0.45,clear sky
19,Sobolevo,RU,54.4299,31.8996,41.29,72,94,16.06,light rain
20,Upernavik,GL,72.7868,-56.1549,20.05,82,100,8.14,overcast clouds
21,Abu Samrah,SY,35.3029,37.1841,67.21,54,0,6.31,clear sky
22,Masvingo,ZW,-20.0637,30.8277,80.11,36,80,3.53,broken clouds
23,Eufaula,US,31.8913,-85.1455,81.03,46,1,4.61,clear sky
24,Chuy,UY,-33.6971,-53.4616,62.69,70,100,1.01,light rain
25,Bubaque,GW,11.2833,-15.8333,84.04,70,97,9.42,overcast clouds
26,Kapoeta,SS,4.7717,33.5903,84.24,37,31,5.59,scattered clouds
27,Nioro,GM,13.35,-15.75,80.89,52,51,5.1,broken clouds
28,Kavaratti,IN,10.5669,72.642,80.91,77,88,0.98,overcast clouds
29,Hermanus,ZA,-34.4187,19.2345,57.9,70,10,4.54,clear sky
30,Chapais,CA,49.7834,-74.8492,35.38,60,99,3.8,overcast clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,78.76,83,100,9.73,overcast clouds
32,Saldanha,ZA,-33.0117,17.9442,57.25,72,35,6.89,scattered clouds
33,Cozumel,MX,20.5083,-86.9458,88.0,75,40,1.99,scattered clouds
34,Pangnirtung,CA,66.1451,-65.7125,30.2,93,90,0.0,overcast clouds
35,Port Alfred,ZA,-33.5906,26.891,61.2,65,4,24.67,clear sky
36,Kapaa,US,22.0752,-159.319,80.58,78,20,7.0,few clouds
37,Xining,CN,36.6167,101.7667,40.6,85,98,0.65,overcast clouds
38,Turbat,PK,26.0023,63.044,75.24,8,0,7.25,clear sky
39,Chase,CA,50.8165,-119.6857,57.33,76,100,3.47,overcast clouds
40,Isangel,VU,-19.55,169.2667,75.74,80,90,10.78,overcast clouds
41,San Cristobal,VE,7.7669,-72.225,82.58,56,91,4.27,overcast clouds
42,Sun Valley,US,39.5963,-119.776,55.38,63,90,5.01,overcast clouds
43,Hobart,AU,-42.8794,147.3294,51.03,92,75,1.99,light rain
44,Port Elizabeth,ZA,-33.918,25.5701,60.1,77,40,21.85,scattered clouds
45,Celestun,MX,20.8667,-90.4,81.39,74,93,8.88,overcast clouds
46,Lufilufi,WS,-13.8745,-171.5986,82.18,68,97,16.75,overcast clouds
47,Pauini,BR,-7.7136,-66.9764,89.92,50,97,3.74,overcast clouds
48,Tuatapere,NZ,-46.1333,167.6833,51.33,96,100,1.72,overcast clouds
49,Omboue,GA,-1.5746,9.2618,76.06,88,96,5.35,overcast clouds
50,Ushuaia,AR,-54.8,-68.3,33.46,93,75,29.93,light snow
51,Rawson,AR,-43.3002,-65.1023,60.55,27,25,4.85,scattered clouds
52,Resistencia,AR,-27.4606,-58.9839,67.98,85,90,11.5,overcast clouds
53,Klaksvik,FO,62.2266,-6.589,50.92,91,100,22.48,overcast clouds
54,Tiznit,MA,29.5833,-9.5,64.24,75,0,1.48,clear sky
55,Georgetown,MY,5.4112,100.3354,80.89,87,20,0.0,few clouds
56,Gillette,US,44.2911,-105.5022,60.24,43,1,13.0,clear sky
57,Barrow,US,71.2906,-156.7887,28.42,86,90,17.27,light snow
58,Tanabe,JP,33.7333,135.3667,51.12,68,36,6.53,scattered clouds
59,Zhezkazgan,KZ,47.8043,67.7144,43.66,42,20,8.86,few clouds
60,Chunskiy,RU,56.0815,99.6342,30.85,87,52,5.41,broken clouds
61,Busselton,AU,-33.65,115.3333,51.08,79,100,5.86,overcast clouds
62,Redmond,US,47.674,-122.1215,55.33,85,100,1.01,moderate rain
63,Coihaique,CL,-45.5752,-72.0662,54.21,40,40,16.11,scattered clouds
64,Provideniya,RU,64.3833,-173.3,22.95,78,100,8.93,overcast clouds
65,Cape Town,ZA,-33.9258,18.4232,60.28,71,75,2.3,broken clouds
66,Campoverde,PE,-8.4753,-74.8058,94.69,29,85,4.43,overcast clouds
67,Qaanaaq,GL,77.484,-69.3632,-1.52,58,0,8.05,clear sky
68,Flinders,AU,-34.5833,150.8552,62.2,86,77,4.0,broken clouds
69,Fairbanks,US,64.8378,-147.7164,36.3,85,1,0.0,clear sky
70,Saskylakh,RU,71.9167,114.0833,7.65,95,100,16.51,light snow
71,New Norfolk,AU,-42.7826,147.0587,50.67,81,100,7.0,light rain
72,Scarborough,GB,54.2797,-0.4044,52.54,73,100,5.01,overcast clouds
73,Nara,JP,34.6851,135.8049,52.88,70,3,1.32,clear sky
74,Hambantota,LK,6.1241,81.1185,78.96,80,38,12.95,scattered clouds
75,Kirakira,SB,-10.4544,161.9205,81.84,75,38,9.06,scattered clouds
76,Hilo,US,19.7297,-155.09,76.24,96,90,6.29,light rain
77,Muros,ES,42.7762,-9.0603,58.23,90,31,1.74,scattered clouds
78,Hithadhoo,MV,-0.6,73.0833,82.24,74,79,12.35,light rain
79,Bilasipara,IN,26.232,90.2347,70.43,81,4,3.53,clear sky
80,Svetlaya,RU,46.5389,138.3297,41.45,71,1,6.4,clear sky
81,Santa Lucia,ES,27.9117,-15.5407,63.77,66,75,13.8,broken clouds
82,Ixtapa,MX,20.7,-105.2,88.23,70,40,9.22,scattered clouds
83,Laguna,US,38.421,-121.4238,67.06,71,90,1.99,overcast clouds
84,Chokurdakh,RU,70.6333,147.9167,-2.06,98,100,6.24,light snow
85,Port Lincoln,AU,-34.7333,135.8667,53.01,79,1,9.42,clear sky
86,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,82,14,17.11,few clouds
87,Chelno-Vershiny,RU,54.4333,51.1,47.03,66,100,14.76,light rain
88,Capelinha,BR,-17.6914,-42.5158,70.03,78,100,3.15,overcast clouds
89,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,70.95,74,85,16.73,overcast clouds
90,Brigantine,US,39.4101,-74.3646,66.0,74,90,4.61,overcast clouds
91,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.79,93,90,3.44,overcast clouds
92,Darien,US,41.752,-87.974,57.15,45,40,1.01,scattered clouds
93,Yellowknife,CA,62.456,-114.3525,43.32,79,40,17.27,scattered clouds
94,Thinadhoo,MV,0.5333,72.9333,83.12,71,85,14.12,overcast clouds
95,Dingle,PH,10.9995,122.6711,74.98,94,100,4.7,overcast clouds
96,Vaini,TO,-21.2,-175.2,71.76,83,75,12.66,broken clouds
97,Suntar,RU,62.1444,117.6319,36.86,76,100,10.2,overcast clouds
98,Lompoc,US,34.6391,-120.4579,73.69,61,1,14.97,clear sky
99,Carnarvon,AU,-24.8667,113.6333,66.27,77,0,10.36,clear sky
100,Ciudad Real,ES,39.0,-4.0,62.11,55,29,1.01,scattered clouds
101,Manokwari,ID,-0.8667,134.0833,77.0,81,66,2.98,broken clouds
102,Rio Muerto,MX,27.4167,-110.2333,90.12,28,0,12.88,clear sky
103,Pevek,RU,69.7008,170.3133,10.69,95,100,6.38,overcast clouds
104,Jamestown,US,42.097,-79.2353,51.39,92,90,7.0,light rain
105,Atuona,PF,-9.8,-139.0333,78.31,78,12,18.68,few clouds
106,Airai,TL,-8.9266,125.4092,60.82,79,21,2.28,few clouds
107,Butaritari,KI,3.0707,172.7902,81.0,73,100,7.18,overcast clouds
108,Namibe,AO,-15.1961,12.1522,65.97,70,47,11.18,scattered clouds
109,Saint-Philippe,RE,-21.3585,55.7679,73.47,84,57,13.06,broken clouds
110,Kenai,US,60.5544,-151.2583,43.14,87,90,17.27,overcast clouds
111,Mountain Home,US,43.133,-115.6912,52.11,51,69,6.8,broken clouds
112,Chernoyerkovskaya,RU,45.4331,37.7686,61.3,92,100,7.29,overcast clouds
113,Shelburne,CA,44.0787,-80.2041,49.91,66,97,5.53,overcast clouds
114,Rio Brilhante,BR,-21.8019,-54.5464,85.39,53,58,8.48,broken clouds
115,Khatanga,RU,71.9667,102.5,10.11,93,100,16.87,overcast clouds
116,Inhambane,MZ,-23.865,35.3833,75.18,88,20,13.8,few clouds
117,Nortelandia,BR,-14.4547,-56.8028,91.62,44,100,9.42,overcast clouds
118,Namatanai,PG,-3.6667,152.4333,79.43,80,43,6.64,scattered clouds
119,Ilulissat,GL,69.2167,-51.1,19.42,79,90,23.02,light shower snow
120,Nome,US,64.5011,-165.4064,30.27,75,1,4.61,clear sky
121,Bathsheba,BB,13.2167,-59.5167,86.61,66,40,21.85,scattered clouds
122,Ust-Maya,RU,60.4167,134.5333,19.09,98,100,0.51,overcast clouds
123,Alofi,NU,-19.0595,-169.9187,76.89,61,89,13.8,overcast clouds
124,Luderitz,NA,-26.6481,15.1594,58.46,73,0,18.92,clear sky
125,Emerald,AU,-23.5333,148.1667,73.54,83,19,8.05,few clouds
126,Bandarbeyla,SO,9.4942,50.8122,77.72,80,22,9.51,few clouds
127,Fortuna,US,40.5982,-124.1573,60.85,78,90,5.01,overcast clouds
128,Nanortalik,GL,60.1432,-45.2371,35.8,73,38,3.09,scattered clouds
129,Never,FR,46.9896,3.159,44.35,84,4,4.99,clear sky
130,Gat,IL,31.61,34.7642,72.09,100,0,5.66,clear sky
131,Vynohradove,UA,46.3696,32.9398,52.23,68,92,7.85,overcast clouds
132,La Ronge,CA,55.1001,-105.2842,37.65,70,90,14.97,overcast clouds
133,Ngunguru,NZ,-35.6167,174.5,62.17,95,100,23.64,overcast clouds
134,Laukaa,RU,58.7372,29.8453,37.36,81,97,10.02,overcast clouds
135,Catemaco,MX,18.4167,-95.1167,83.95,78,59,4.74,broken clouds
136,San Patricio,US,28.017,-97.5169,89.69,49,18,14.94,few clouds
137,Sibolga,ID,1.7427,98.7792,75.88,91,100,4.07,overcast clouds
138,Coahuayana,MX,18.7333,-103.6833,89.08,69,100,5.14,overcast clouds
139,Road Town,VG,18.4167,-64.6167,86.09,62,20,10.36,few clouds
140,Katsuura,JP,35.1333,140.3,53.71,59,6,7.43,clear sky
141,Nantucket,US,41.2835,-70.0995,62.74,77,27,12.26,scattered clouds
142,Elverum,NO,60.8819,11.5623,33.06,84,100,3.91,overcast clouds
143,Bethel,US,41.3712,-73.414,60.55,59,20,1.99,few clouds
144,Guerrero Negro,MX,27.9769,-114.0611,71.58,60,1,18.86,clear sky
145,Ponta Do Sol,PT,32.6667,-17.1,70.43,53,25,6.51,scattered clouds
146,Bhadrak,IN,21.0633,86.5054,71.55,75,47,2.91,scattered clouds
147,Lynn Haven,US,30.2455,-85.6483,86.97,38,1,1.01,clear sky
148,Norman Wells,CA,65.282,-126.8329,41.04,70,20,5.75,few clouds
149,Tres Arroyos,AR,-38.3739,-60.2798,60.22,43,3,19.75,clear sky
150,Praya,CV,14.9215,-23.5087,81.14,57,0,16.11,clear sky
151,Batemans Bay,AU,-35.7167,150.1833,58.1,91,99,3.98,light rain
152,Cumanayagua,CU,22.1494,-80.2022,86.41,67,100,4.9,overcast clouds
153,Nizhniy Baskunchak,RU,48.2198,46.8311,57.18,63,100,10.36,overcast clouds
154,Codrington,AU,-38.2667,141.9667,48.56,73,62,13.15,broken clouds
155,Sunrise Manor,US,36.2111,-115.0731,77.9,30,1,3.44,clear sky
156,Ulaanbaatar,MN,47.9077,106.8832,31.66,44,26,1.41,scattered clouds
157,Longyearbyen,SJ,78.2186,15.6401,21.04,79,40,5.75,scattered clouds
158,Waipawa,NZ,-41.4122,175.5153,56.44,68,98,2.59,overcast clouds
159,Sredneuralsk,RU,56.9892,60.4666,42.15,78,92,11.03,overcast clouds
160,Nichinan,JP,31.6,131.3667,53.76,74,48,9.22,scattered clouds
161,Balabac,PH,7.9868,117.0645,79.21,83,100,6.71,overcast clouds
162,Faanui,PF,-16.4833,-151.75,78.06,73,100,3.04,overcast clouds
163,Port-Gentil,GA,-0.7193,8.7815,77.83,83,42,9.37,scattered clouds
164,Pombas,CV,17.1503,-25.0201,76.78,77,8,13.94,clear sky
165,Latehar,IN,23.75,84.5,64.45,74,0,3.56,clear sky
166,Revda,RU,56.801,59.9303,41.81,85,97,11.03,overcast clouds
167,Aquiraz,BR,-3.9014,-38.3911,87.22,64,5,9.13,clear sky
168,Kindu,CD,-2.95,25.95,74.21,82,61,2.68,broken clouds
169,Thompson,CA,55.7435,-97.8558,33.96,80,75,3.44,broken clouds
170,Moose Factory,CA,51.2585,-80.6094,40.98,93,90,9.22,mist
171,Callaguip,PH,18.0714,120.4867,78.55,78,100,8.23,overcast clouds
172,Tezu,IN,27.9167,96.1667,70.57,71,66,2.75,broken clouds
173,Santa Marta,CO,11.2408,-74.199,89.35,72,25,10.85,scattered clouds
174,Vao,NC,-22.6667,167.4833,71.82,79,20,14.38,few clouds
175,Kathmandu,NP,27.7167,85.3167,64.62,94,75,3.44,mist
176,Tuy Hoa,VN,13.0833,109.3,75.96,96,100,8.41,moderate rain
177,Ternate,ID,0.8,127.4,79.86,79,54,4.25,broken clouds
178,Pokhara,NP,28.2333,83.9833,60.53,76,11,5.86,few clouds
179,Avarua,CK,-21.2078,-159.775,73.45,56,20,10.36,few clouds
180,Rocha,UY,-34.4833,-54.3333,58.78,93,100,7.25,light rain
181,Mahon,ES,39.8885,4.2658,64.96,82,40,10.36,scattered clouds
182,Sorland,NO,67.667,12.6934,42.44,58,97,8.16,overcast clouds
183,Magomeni,TZ,-6.8,39.25,77.38,83,20,10.36,few clouds
184,Indramayu,ID,-6.3264,108.32,81.59,74,100,3.47,overcast clouds
185,Alvorada,BR,-12.48,-49.1247,88.77,45,94,5.5,overcast clouds
186,Valleyview,CA,55.0667,-117.2859,42.84,87,100,2.3,overcast clouds
187,Mogadishu,SO,2.0371,45.3438,79.45,83,0,7.7,clear sky
188,Aykhal,RU,66.0,111.5,24.55,90,99,22.21,overcast clouds
189,Padang,ID,-0.9492,100.3543,76.53,90,95,2.89,overcast clouds
190,Narsaq,GL,60.9167,-46.05,35.82,72,70,1.14,broken clouds
191,Hovd,MN,48.0056,91.6419,34.48,53,3,6.89,clear sky
192,Lata,PT,40.1629,-8.3327,59.81,65,59,0.87,broken clouds
193,Kasongo-Lunda,CD,-6.4667,16.8167,71.51,95,36,1.83,light rain
194,Tasiilaq,GL,65.6145,-37.6368,33.96,86,100,4.85,overcast clouds
195,Bang Sai,TH,14.2124,100.4966,80.01,92,100,5.35,overcast clouds
196,Havelock,US,34.8791,-76.9013,77.95,65,40,1.01,scattered clouds
197,Mar Del Plata,AR,-38.0023,-57.5575,68.02,61,75,14.0,thunderstorm
198,Zeya,RU,53.75,127.2667,34.86,75,8,1.72,clear sky
199,Lebu,CL,-37.6167,-73.65,54.7,72,27,9.86,scattered clouds
200,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,74,75,3.0,broken clouds
201,Bintulu,MY,3.1667,113.0333,75.61,94,40,3.0,scattered clouds
202,Kiunga,PG,-6.1219,141.2906,72.5,99,94,2.04,overcast clouds
203,Naze,JP,28.3667,129.4833,68.04,74,100,17.78,overcast clouds
204,Chimoio,MZ,-19.1164,33.4833,76.86,69,0,1.25,clear sky
205,Sladkovicovo,SK,48.2014,17.6385,46.98,60,0,6.93,clear sky
206,Darab,IR,28.7519,54.5444,69.21,28,0,5.48,clear sky
207,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,40,12.66,scattered clouds
208,Kodiak,US,57.79,-152.4072,44.11,76,90,10.36,moderate rain
209,Ola,RU,59.5833,151.2833,23.97,69,100,11.14,overcast clouds
210,Port Hardy,CA,50.6996,-127.4199,51.98,82,40,10.36,scattered clouds
211,Bairiki,KI,1.3292,172.9752,78.8,78,75,2.3,broken clouds
212,Qasigiannguit,GL,68.8193,-51.1922,19.65,95,100,5.48,light snow
213,Poum,NC,-20.2333,164.0167,73.53,80,6,11.43,clear sky
214,Ust-Barguzin,RU,53.45,108.9833,33.75,82,91,3.6,overcast clouds
215,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,83,40,11.68,scattered clouds
216,Makhinjauri,GE,41.6739,41.694,53.46,82,0,11.5,clear sky
217,Cherskiy,RU,68.75,161.3,-2.72,100,98,2.46,overcast clouds
218,Springville,US,40.1652,-111.6107,50.52,79,90,8.05,overcast clouds
219,Victoria,HK,22.2855,114.1577,70.25,80,100,1.01,overcast clouds
220,Yenagoa,NG,4.9247,6.2642,73.4,96,100,2.57,overcast clouds
221,Bonnyville,CA,54.2668,-110.735,37.2,60,100,16.33,overcast clouds
222,Nola,IT,40.922,14.5329,68.56,77,100,6.71,overcast clouds
223,Bogorodskoye,RU,56.55,37.8833,36.55,84,62,9.46,broken clouds
224,Manjacaze,MZ,-24.7117,33.8828,78.93,62,0,13.51,clear sky
225,Souillac,MU,-20.5167,57.5167,75.58,78,40,12.66,scattered clouds
226,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,10,40,37.98,scattered clouds
227,Haines Junction,CA,60.7522,-137.5108,31.95,86,100,0.0,overcast clouds
228,Shaunavon,CA,49.6501,-108.4181,46.18,56,97,16.4,overcast clouds
229,Angoram,PG,-4.0625,144.0661,72.41,99,81,2.17,broken clouds
230,Tromso,NO,69.6496,18.957,32.02,69,75,5.01,shower sleet
231,Seoul,KR,37.5683,126.9778,44.04,91,20,2.3,few clouds
232,Nuuk,GL,64.1835,-51.7216,29.01,50,75,9.22,broken clouds
